paper_id,title,authors,year,source,doi_or_url,doi,url,arxiv_id,pdf_path,pdf_exists,note_path,note_exists,is_agent,inclusion_status,exclusion_reason,legacy_main_class,legacy_secondary_class,legacy_tertiary_class,fourth_level_topic,new_fourth_level,agent_type,research_workflow_role,validation_type,scientific_contribution_type,evidence_strength,citation_priority,scientific_object_modules,general_method_bucket,object_coverage_mode,primary_module_for_filing,first_hand_sources_checked,progress_title,pdf_status,evidence_status,note_status,master_status,final_modules_or_bucket,source_limited,batch,closed,active_confirmed_core,exported_at
ASD-0011,Chemtoolagent: The impact of tools on language agents for chemistry problem solving,Yu et al.,2024,arXiv,https://arxiv.org/abs/2411.07228,,https://arxiv.org/abs/2411.07228,2411.07228,,False,,False,uncertain,background_only,Tool-use chemistry problem-solving/benchmark paper; keep as background unless full text shows a scientific research workflow Agent.,03,03.04,,Chemistry agents / molecular discovery,no,,,,,,standard,03,none,single_module,03,,,,,,,,,,,False,2026-06-30T14:12:54+00:00
ASD-0012,Large language models for chemistry robotics,Yoshikawa et al.,2023,Unknown,https://link.springer.com/article/10.1007/s10514-023-10136-2,10.1007/s10514-023-10136-2,https://link.springer.com/article/10.1007/s10514-023-10136-2,,Reference_PDF/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.pdf,True,Notes/03_Chemical_Sciences/Yoshikawa_2023_Chemistry_Robotics_LLMs.md,True,yes,to_read,,03,03.04,,Chemistry agents / molecular discovery,no,,,,,,core,,"none`; direct Springer PDF endpoint still returned HTML challenge in this environment, but chemistry-object classification is stable from first-hand full text.","single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; direct Springer PDF endpoint still returned HTML challenge in this environment, but chemistry-object classification is stable from first-hand full text.","03`, `general_method_bucket=none`; direct Springer PDF endpoint still returned HTML challenge in this environment, but chemistry-object classification is stable from first-hand full text.",,Large language models for chemistry robotics,archived_pdf,first_hand_html_full_text,checked,updated,03,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0013,The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,Yamada et al.,2025,arXiv,https://arxiv.org/abs/2504.08066,,https://arxiv.org/abs/2504.08066,2504.08066,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.pdf,True,Notes/01_Formal_Information_and_Computational_Sciences/Yamada_2025_AI_Scientist_V2.md,True,yes,to_read,,01,01.04,,General scientific research-agent systems,no,,,,,,core,01,none,single_module,01,"arXiv abs; evidence=end-to-end agentic system formulates ML hypotheses, designs/runs code experiments, analyzes data, writes manuscripts, and evaluates three autonomous ML manuscripts through ICLR workshop review. Independent `01.04` only treatment is no longer supported because the concrete object coverage is AI/ML computational research. Batch01Reaudit2026-06-21: official arXiv PDF archived; note wording updated to reflect stable `01` formal/computational object coverage rather than independent `01.04`.",The ai scientist-v2: Workshop-level automated scientific discovery via agentic tree search,archived_pdf,first_hand_full_text,updated,updated,01,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0014,Spatialagent: An autonomous ai agent for spatial biology,Wang et al.,2025,bioRxiv,,,,,Reference_PDF/06_Life_Sciences/Wang_2025_SpatialAgent.pdf,True,Notes/06_Life_Sciences/Wang_2025_SpatialAgent.md,True,yes,to_read,,06,06.03,,Biology / omics research agents,no,,,,,,core,06,none,single_module,06,"Crossref DOI abstract `10.1101/2025.04.03.646459` + official GitHub README; evidence=spatial biology / spatial transcriptomics workflow across human brain, heart, and mouse colon colitis spatial-omics datasets supports `06`; accessible first-hand evidence does not show independent patient-level diagnosis, treatment evaluation, or clinical-validation tasks strong enough for `07`. Batch01Reaudit2026-06-21: bioRxiv PDF endpoint remained `403`; keep full-text follow-up open, but current `06` classification is treated as stable rather than pending a `07` move.",Spatialagent: An autonomous ai agent for spatial biology,pdf_unavailable_403,first_hand_abstract_and_official_repo,updated,updated,06,yes,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0015,Exploring modularity of agentic systems for drug discovery,van Weesep et al.,2025,arXiv,https://arxiv.org/abs/2506.22189,,https://arxiv.org/abs/2506.22189,2506.22189,,False,,False,uncertain,background_only,Modularity/evaluation study of agentic systems; not yet a concrete scientific discovery Agent system.,07,07.04,,Drug discovery / biomedical agents,no,,,,,,standard,07,none,single_module,07,,,,,,,,,,,False,2026-06-30T14:12:54+00:00
ASD-0016,An autonomous laboratory for the accelerated synthesis of novel materials,Szymanski et al.,2023,Nature,https://doi.org/10.1038/s41586-023-06734-w,10.1038/s41586-023-06734-w,https://doi.org/10.1038/s41586-023-06734-w,,Reference_PDF/04_Materials_Science/Szymanski_2023_A_Lab.pdf,True,Notes/04_Materials_Science/Szymanski_2023_A_Lab.md,True,yes,to_read,,04,04.04,,Materials discovery agents,no,Robot / Embodied Agent;Planning Agent;Hybrid Agent,experimental_design;experiment_execution;data_analysis;evidence_assessment_and_validation,robotic_experiment,system_platform;experimental_discovery,experimentally_validated,core,,none`; keep canonical PDF title `An autonomous laboratory for the accelerated synthesis of novel materials`.,"single_module`, `primary_module_for_filing=04`, `general_method_bucket=none`; keep canonical PDF title `An autonomous laboratory for the accelerated synthesis of novel materials`.","04`, `general_method_bucket=none`; keep canonical PDF title `An autonomous laboratory for the accelerated synthesis of novel materials`.",,An autonomous laboratory for the accelerated synthesis of novel materials,archived_pdf,first_hand_full_text,updated,updated,04,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0017,Can ai agents design and implement drug discovery pipelines?,Smbatyan et al.,2025,arXiv,https://arxiv.org/abs/2504.19912,,https://arxiv.org/abs/2504.19912,2504.19912,Reference_PDF/07_Medical_and_Health_Sciences/Smbatyan_2025_DO_Challenge.pdf,True,Notes/07_Medical_and_Health_Sciences/Smbatyan_2025_DO_Challenge.md,True,yes,to_read,,07,07.04,,Drug discovery / biomedical agents,no,,,,,,core,,none`.,"single_module`, `primary_module_for_filing=07`, `general_method_bucket=none`.","07`, `general_method_bucket=none`.",,Can ai agents design and implement drug discovery pipelines?,archived_pdf,first_hand_full_text,updated,updated,07,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0018,Agent laboratory: Using llm agents as research assistants,Schmidgall et al.,2025,arXiv,https://arxiv.org/abs/2501.04227,,https://arxiv.org/abs/2501.04227,2501.04227,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.pdf,True,Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_Agent_Laboratory.md,True,yes,to_read,,01,01.04,,General scientific research-agent systems,no,,,,,,core,,none`; independent `01.04`-only note wording removed because the paper reports concrete ML research workflow objects and code-experiment evidence.,"single_module`, `primary_module_for_filing=01`, `general_method_bucket=none`; independent `01.04`-only note wording removed because the paper reports concrete ML research workflow objects and code-experiment evidence.","01`, `general_method_bucket=none`; independent `01.04`-only note wording removed because the paper reports concrete ML research workflow objects and code-experiment evidence.",,Agent laboratory: Using llm agents as research assistants,archived_pdf,first_hand_full_text,updated,updated,01,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0019,Agentrxiv: Towards collaborative autonomous research,Schmidgall and Moor,2025,arXiv,https://arxiv.org/abs/2503.18102,,https://arxiv.org/abs/2503.18102,2503.18102,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.pdf,True,Notes/01_Formal_Information_and_Computational_Sciences/Schmidgall_2025_AgentRxiv.md,True,yes,to_read,,01,01.04,,General scientific research-agent systems,no,,,,,,core,,"none`; `MedQA` remains transfer benchmark evidence rather than independent `07`, so this record stays in formal/computational `01` rather than independent `01.04`.","single_module`, `primary_module_for_filing=01`, `general_method_bucket=none`; `MedQA` remains transfer benchmark evidence rather than independent `07`, so this record stays in formal/computational `01` rather than independent `01.04`.","01`, `general_method_bucket=none`; `MedQA` remains transfer benchmark evidence rather than independent `07`, so this record stays in formal/computational `01` rather than independent `01.04`.",,Agentrxiv: Towards collaborative autonomous research,archived_pdf,first_hand_full_text,updated,updated,01,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0020,Biodiscoveryagent: An ai agent for designing genetic perturbation experiments,Roohani et al.,2024,arXiv,https://arxiv.org/abs/2405.17631,,https://arxiv.org/abs/2405.17631,2405.17631,Reference_PDF/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.pdf,True,Notes/06_Life_Sciences/Roohani_2024_BioDiscoveryAgent.md,True,yes,to_read,,06,06.03,,Biology / omics research agents,no,,,,,,core,,none`.,"single_module`, `primary_module_for_filing=06`, `general_method_bucket=none`.","06`, `general_method_bucket=none`.",,Biodiscoveryagent: An ai agent for designing genetic perturbation experiments,archived_pdf,first_hand_full_text,updated,updated,06,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0021,A review of large language models and autonomous agents in chemistry,Ramos et al.,2025,Chemical Science,https://doi.org/10.1039/D4SC03921A,10.1039/D4SC03921A,https://doi.org/10.1039/D4SC03921A,,,False,Notes/03_Chemical_Sciences/Ramos_2025_LLMs_Autonomous_Agents_Chemistry.md,False,no,background_only,"Review article; use for chemistry background and citation expansion, not core system statistics.",03,03.04,,Chemistry agents / molecular discovery,no,,,,survey_reference,high_metadata_only,background,03,none,single_module,03,,,,,,,,,,,False,2026-06-30T14:12:54+00:00
ASD-0022,Chemgraph: An agentic framework for computational chemistry workflows,Pham et al.,2025,arXiv,https://arxiv.org/abs/2506.06363,,https://arxiv.org/abs/2506.06363,2506.06363,Reference_PDF/03_Chemical_Sciences/Pham_2025_ChemGraph.pdf,True,Notes/03_Chemical_Sciences/Pham_2025_ChemGraph.md,True,yes,to_read,,03,03.04,,Chemistry agents / molecular discovery,no,,,,,,core,,none`; current full-text evidence does not justify an additional independent `04` module.,"single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`; current full-text evidence does not justify an additional independent `04` module.","03`, `general_method_bucket=none`; current full-text evidence does not justify an additional independent `04` module.",,Chemgraph: An agentic framework for computational chemistry workflows,archived_pdf,first_hand_full_text,updated,updated,03,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0023,"Bioplanner: Automatic evaluation of llms on protocol planning in biology, 2023",O’Donoghue et al.,2023,Unknown,https://arxiv.org/abs/2310.10632,,https://arxiv.org/abs/2310.10632,2310.10632,,False,,False,no,background_only,"Protocol-planning evaluation framework/dataset; useful benchmark background, not a concrete Agent system.",06,06.03,,Biology / omics research agents,no,,,,,,standard,06,none,single_module,06,,,,,,,,,,,False,2026-06-30T14:12:54+00:00
ASD-0024,Large language model agent for modular task execution in drug discovery,Ock et al.,2025,arXiv,https://arxiv.org/abs/2507.02925,,https://arxiv.org/abs/2507.02925,2507.02925,Reference_PDF/07_Medical_and_Health_Sciences/Ock_2025_AgentD.pdf,True,Notes/07_Medical_and_Health_Sciences/Ock_2025_AgentD.md,True,yes,to_read,,07,07.04,,Drug discovery / biomedical agents,no,,,,,,core,07,"none`; therapeutic pipeline, binding-affinity and protein-ligand tasks support `07`, while seed-molecule generation, property-aware molecular refinement, and drug-/lead-likeness molecule tasks independently support `03`.","multi_module`, `primary_module_for_filing=07`, `general_method_bucket=none`; therapeutic pipeline, binding-affinity and protein-ligand tasks support `07`, while seed-molecule generation, property-aware molecular refinement, and drug-/lead-likeness molecule tasks independently support `03`.","07`, `general_method_bucket=none`; therapeutic pipeline, binding-affinity and protein-ligand tasks support `07`, while seed-molecule generation, property-aware molecular refinement, and drug-/lead-likeness molecule tasks independently support `03`.",,Large language model agent for modular task execution in drug discovery,archived_pdf,first_hand_full_text,updated,updated,07;03,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0025,Cactus: Chemistry agent connecting tool usage to science,McNaughton et al.,2024,Unknown,,,,,Reference_PDF/03_Chemical_Sciences/McNaughton_2024_CACTUS.pdf,True,Notes/03_Chemical_Sciences/McNaughton_2024_CACTUS.md,True,yes,to_read,,03,03.04,,Chemistry agents / molecular discovery,no,,,,,,standard,,none`.,"single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`.","03`, `general_method_bucket=none`.",,Cactus: Chemistry agent connecting tool usage to science,archived_pdf,first_hand_full_text,updated,updated,03,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0026,Autonomous microscopy experiments through large language model agents,Mandal et al.,2024,arXiv,https://arxiv.org/abs/2501.10385,,https://arxiv.org/abs/2501.10385,2501.10385,Reference_PDF/04_Materials_Science/Mandal_2025_AILA_Autonomous_Microscopy.pdf,True,,False,yes,excluded,Duplicate journal-version record of ASD-0522; keep ASD-0522 as the canonical Nature Communications record for this work.,04,04.04,,Materials discovery agents,no,,,,,high_duplicate,do_not_cite,04,none,single_module,04,,Autonomous microscopy experiments through large language model agents,archived_pdf,first_hand_full_text,duplicate_shared_note_with_ASD-0522,excluded_duplicate,04;09,no,Dedup2026-06-29,yes,False,2026-06-30T14:12:54+00:00
ASD-0027,Ai agents in chemical research: Gvim–an intelligent research assistant system,Ma,2025,Digital Discovery,,,,,,False,,False,uncertain,background_only,Chemical research assistant/model system; Agent loop and autonomous iterative workflow are unclear from metadata.,03,03.04,,Chemistry agents / molecular discovery,no,,,,,,standard,03,none,single_module,03,,,,,,,,,,,False,2026-06-30T14:12:54+00:00
ASD-0028,Drugagent: Automating ai-aided drug discovery programming through llm multi-agent collaboration,Liu et al.,2024,arXiv,https://arxiv.org/abs/2411.15692,,https://arxiv.org/abs/2411.15692,2411.15692,Reference_PDF/07_Medical_and_Health_Sciences/Liu_2024_DrugAgent.pdf,True,Notes/07_Medical_and_Health_Sciences/Liu_2024_DrugAgent.md,True,yes,to_read,,07,07.04,,Drug discovery / biomedical agents,no,,,,,,standard,,none`.,"single_module`, `primary_module_for_filing=07`, `general_method_bucket=none`.","07`, `general_method_bucket=none`.",,Drugagent: Automating ai-aided drug discovery programming through llm multi-agent collaboration,archived_pdf,first_hand_full_text,updated,updated,07,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0029,Chemhas: Hierarchical agent stacking for enhancing chemistry tools,Li et al.,2025,arXiv,https://arxiv.org/abs/2505.21569,,https://arxiv.org/abs/2505.21569,2505.21569,Reference_PDF/03_Chemical_Sciences/Li_2025_ChemHAS.pdf,True,Notes/03_Chemical_Sciences/Li_2025_ChemHAS.md,True,yes,to_read,,03,03.04,,Chemistry agents / molecular discovery,no,,,,,,standard,,none`.,"single_module`, `primary_module_for_filing=03`, `general_method_bucket=none`.","03`, `general_method_bucket=none`.",,Chemhas: Hierarchical agent stacking for enhancing chemistry tools,archived_pdf,first_hand_full_text,updated,updated,03,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0030,Rag-enhanced collaborative llm agents for drug discovery,Lee et al.,2025,arXiv,https://arxiv.org/abs/2502.17506,,https://arxiv.org/abs/2502.17506,2502.17506,Reference_PDF/07_Medical_and_Health_Sciences/Lee_2025_CLADD.pdf,True,Notes/07_Medical_and_Health_Sciences/Lee_2025_CLADD.md,True,yes,to_read,,07,07.04,,Drug discovery / biomedical agents,no,,,,,,standard,03,"none`; drug-target and biological-activity tasks support `07`, while molecular captioning and MoleculeNet/MLSMR molecule-object tasks support `03`.","multi_module`, `primary_module_for_filing=07`, `general_method_bucket=none`; drug-target and biological-activity tasks support `07`, while molecular captioning and MoleculeNet/MLSMR molecule-object tasks support `03`.","07`, `general_method_bucket=none`; drug-target and biological-activity tasks support `07`, while molecular captioning and MoleculeNet/MLSMR molecule-object tasks support `03`.",,Rag-enhanced collaborative llm agents for drug discovery,archived_pdf,first_hand_full_text,updated,updated,03;07,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0031,Llmatdesign: Autonomous materials discovery with large language models,Jia et al.,2024,arXiv,https://arxiv.org/abs/2406.13163,,https://arxiv.org/abs/2406.13163,2406.13163,Reference_PDF/04_Materials_Science/Jia_2024_LLMatDesign.pdf,True,Notes/04_Materials_Science/Jia_2024_LLMatDesign.md,True,yes,to_read,,04,04.04,,Materials discovery agents,no,,,,,,core,,none`.,"single_module`, `primary_module_for_filing=04`, `general_method_bucket=none`.","04`, `general_method_bucket=none`.",,Llmatdesign: Autonomous materials discovery with large language models,archived_pdf,first_hand_full_text,updated,updated,04,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0032,Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation,Jansen et al.,2025,arXiv,https://arxiv.org/abs/2503.22708,,https://arxiv.org/abs/2503.22708,2503.22708,Reference_PDF/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.pdf,True,Notes/01_Formal_Information_and_Computational_Sciences/Jansen_2025_CodeScientist.md,True,yes,to_read,,01,01.04,,General scientific research-agent systems,no,,,,,,core,01,none,single_module,01,"arXiv abs; evidence=software artifacts, ML/agent algorithms, virtual-environment tasks, code review, replication attempts, and discovered tasks/agents/metrics/data are concrete formal-computational research objects. Independent `01.04` only treatment is no longer supported. Batch01Reaudit2026-06-21: official arXiv PDF archived; note wording updated to remove residual independent `01.04` phrasing and keep the record in formal/computational `01`.",Codescientist: End-to-end semi-automated scientific discovery with code-based experimentation,archived_pdf,first_hand_full_text,updated,updated,01,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
ASD-0033,Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine,Huang et al.,2025,Unknown,http://dx.doi.org/10.1101/2025.07.31.667797,10.1101/2025.07.31.667797,http://dx.doi.org/10.1101/2025.07.31.667797,,Reference_PDF/06_Life_Sciences/Huang_2025_OmniCellAgent.pdf,True,Notes/06_Life_Sciences/Huang_2025_OmniCellAgent.md,True,yes,to_read,,06,06.03,,Single-cell / omics research agents,no,,,,,,core,06,none,single_module,06,"PMC HTML full text `PMC12324537`; evidence=although the abstract and introduction use precision-medicine / treatment language, the concrete workflow and results remain single-cell / omics data retrieval, DEG analysis, pathway/disease-association enrichment, literature synthesis, and BioASQ-style biomedical QA; no patient-level clinical decision, therapeutic ranking, or wet-lab / clinical validation supports adding `07`. Batch01Reaudit2026-06-21: PMC HTML full text rechecked; no local PDF archived yet, but current `06` classification is treated as stable rather than source-limited.",Omnicellagent: Towards ai co-scientists for scientific discovery in precision medicine,archived_pdf,first_hand_html_full_text,checked,updated,06,no,Batch01,yes,True,2026-06-30T14:12:54+00:00
